2025-06-09 15:56:47 - User: SYSTEM, Group: Administrator, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: ChecklistProcessorManager, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: ChecklistUser, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: CoachingProcessorManager, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: CoachingUser, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: HQChecklistProcessorManager, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: HRTaskUser, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: MarketingTaskEditor, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: MarketingTaskUser, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: OperationalTaskEditor, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: OperationalTaskUser, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: StockTakingProcesorManager, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: SYSTEM, Group: StockUser, Action: Globalna weryfikacja grupy, Status: Powodzenie, Message: Grupa istnieje w AD i jest zarz�dzana.
2025-06-09 15:56:47 - User: kowalski, Group: ChecklistUser, Action: Dodano do grupy, Status: Powodzenie, Message: U�ytkownik dodany.
2025-06-09 15:56:47 - User: kowalski, Group: CoachingUser, Action: Dodano do grupy, Status: Powodzenie, Message: U�ytkownik dodany.
2025-06-09 15:56:47 - User: kowalski, Group: HQChecklistProcessorManager, Action: Dodano do grupy, Status: Powodzenie, Message: U�ytkownik dodany.
2025-06-09 15:56:47 - User: kowalski, Group: HRTaskUser, Action: Dodano do grupy, Status: Powodzenie, Message: U�ytkownik dodany.
2025-06-09 15:56:47 - User: kowalski, Group: OperationalTaskEditor, Action: Dodano do grupy, Status: Powodzenie, Message: U�ytkownik dodany.
2025-06-09 15:56:47 - User: kowalski, Group: OperationalTaskUser, Action: Dodano do grupy, Status: Powodzenie, Message: U�ytkownik dodany.
